ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/801597.pdf,JOSÉ SÁVIO BICHO DE OLIVEIRA,UNIFESSPA,PA
https://even3.blob.core.windows.net/anais/801945.pdf,LORENA AMADOR VILHENA,UFPA,PA
https://even3.blob.core.windows.net/anais/796162.pdf,ANA PRISCILA SAMPAIO REBOUÇAS,UEPB,PB
https://even3.blob.core.windows.net/anais/801296.pdf,ANA PRISCILA SAMPAIO REBOUÇAS,UEPB,PB
https://even3.blob.core.windows.net/anais/789076.pdf,JOSÉ ROBERTO DA SILVA,UPE,PE
https://even3.blob.core.windows.net/anais/789076.pdf,MARIA APARECIDA DA SILVA RUFINO,UPE,PE
https://even3.blob.core.windows.net/anais/789076.pdf,SUELLEN SOARES SILVA DOS SANTOS,UPE,PE
https://even3.blob.core.windows.net/anais/801545.pdf,ANTONIO FRANCISCO RAMOS,IFPI,PI
https://even3.blob.core.windows.net/anais/801545.pdf,RAIMUNDINHA NUNES GOMES VILANOVA,IFPI,PI
https://even3.blob.core.windows.net/anais/788537.pdf,BRUNA MARQUES DUARTE,UEM,PR
https://even3.blob.core.windows.net/anais/788538.pdf,BRUNA MARQUES DUARTE,UEM,PR
https://even3.blob.core.windows.net/anais/788538.pdf,RENATO SOUZA DA CRUZ,UEM,PR
https://even3.blob.core.windows.net/anais/798827.pdf,ADRIANA DA SILVA KLIPPEL,Unioeste,PR
https://even3.blob.core.windows.net/anais/798827.pdf,MARCOS LÜBECK,Unioeste,PR
https://even3.blob.core.windows.net/anais/787894.pdf,MÁRCIO DE ALBUQUERQUE VIANNA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788173.pdf,JULIO OMAR  (Júlio Omar da Silva Lourenço),SEMED – Macaé,RJ
https://even3.blob.core.windows.net/anais/788173.pdf,MÁRCIO DE ALBUQUERQUE VIANNA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788374.pdf,ANDREZA APARECIDA CARVALHO JANUARIO GONÇALVES,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788374.pdf,DORA SORAIA KINDEL,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788374.pdf,MÁRCIO DE ALBUQUERQUE VIANNA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/788397.pdf,IVANETE CARDOSO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,ADRIANO VARGAS FREITAS,UFF,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,LILIAN REGINA ARAUJO DOS SANTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/789029.pdf,MÁRCIA LUCAS DE OLIVEIRA,UFF,RJ
https://even3.blob.core.windows.net/anais/789033.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/799128.pdf,SANDRA MARIA NASCIMENTO DE MATTOS,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/799803.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/799843.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/800211.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/801423.pdf,JOSÉ ROBERTO LINHARES DE MATTOS,UFF,RJ
https://even3.blob.core.windows.net/anais/801723.pdf,MARIA CECILIA FANTINATO,UFF,RJ
https://even3.blob.core.windows.net/anais/801877.pdf,EULINA COUTINHO SILVA DO NASCIMENTO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801877.pdf,LUIZA BETÂNIA GEVERGÍ LACERDA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,DÉBORA DE OLIVEIRA COUTO DA SILVA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,EULINA COUTINHO SILVA DO NASCIMENTO,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801992.pdf,RAYANE ALVARENGA BESERRA DA SILVA,UFRRJ,RJ
https://even3.blob.core.windows.net/anais/801995.pdf,GABRIELA BRIAO,UERJ,RJ
https://even3.blob.core.windows.net/anais/789068.pdf,JAINY ELLEN CASSIANO MOTA,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,JOERDESSON DOUGLAS SILVA DE FARIAS,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,MARIA APARECIDA DOS SANTOS FERREIRA,IFRN,RN
https://even3.blob.core.windows.net/anais/789068.pdf,PAULO EDUARDO BEZERRA DA SILVA,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,FRANCISCO DJNNATHAN DA SILVA GONÇALVES,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,JAINY ELLEN CASSIANO MOTA,IFRN,RN
https://even3.blob.core.windows.net/anais/789074.pdf,WILTON ALEXANDRE DO NASCIMENTO,UFRN,RN
https://even3.blob.core.windows.net/anais/797648.pdf,EDNEY ARAUJO LIMA,UFRN,RN
https://even3.blob.core.windows.net/anais/797648.pdf,Claudianny Amorim Noronha,UFRN,RN
https://even3.blob.core.windows.net/anais/801890.pdf,MARIA JOSÉ COSTA DOS SANTOS,UFRN,RN
https://even3.blob.core.windows.net/anais/788402.pdf,CARMA MARIA MARTINI,UNIR,RO
https://even3.blob.core.windows.net/anais/788402.pdf,MARLI HENRIQUE DE LIMA PIO SURUI,UNIR,RO
https://even3.blob.core.windows.net/anais/801879.pdf,MÁRCIA REGINA DE SOUZA SILVA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,MÁRCIA REGINA DE SOUZA SILVA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,ISABEL CRISTINA DE SOUZA,UNIR,RO
https://even3.blob.core.windows.net/anais/801893.pdf,KÉCIO GONÇALVES LEITE,UNIR,RO
https://even3.blob.core.windows.net/anais/801431.pdf,LÉLIA MAXIMINO DA SILVA,Escola Municipal Indígena Vovó Tereza Januário,RR
https://even3.blob.core.windows.net/anais/801431.pdf,ADNELSON JATI BATISTA,IFRR,RR
https://even3.blob.core.windows.net/anais/801431.pdf,SOLANGE ALMEIDA SANTOS,IFRR,RR
https://even3.blob.core.windows.net/anais/788156.pdf,DELMA TÂNIA BERTHOLDO,IFRS,RS
https://even3.blob.core.windows.net/anais/788317.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/788317.pdf,JULIANA BATISTA PEREIRA DOS SANTOS,Escola Estadual de Ensino Médio Bibiano de Almeida,RS
https://even3.blob.core.windows.net/anais/788317.pdf,LUÍS TIAGO OSTERBERG,PUCRS,RS
https://even3.blob.core.windows.net/anais/788435.pdf,CASSIO CRISTIANO GIORDANO,FURG,RS
https://even3.blob.core.windows.net/anais/789014.pdf,ISABEL CRISTINA MACHADO DE LARA,PUCRS,RS
https://even3.blob.core.windows.net/anais/791639.pdf,BIANCA BALBINOT,Cesuca,RS
